level_0,index,team,type,minute,shot_type,shot_statsbomb_xg,shot_outcome,pass_outcome,player,x,y,endX,endY
730,730,Spain Women's,Pass,68,,,,Incomplete,Jennifer Hermoso Fuentes,59.5,5.5,114.9,4.9
734,734,Spain Women's,Pass,68,,,,Incomplete,Ona Batlle Pascual,107.6,73.1,104.9,52.6
741,741,Spain Women's,Pass,68,,,,Incomplete,Jennifer Hermoso Fuentes,69.3,16.0,74.3,11.9
745,745,Spain Women's,Pass,69,,,,Incomplete,Ona Batlle Pascual,63.8,77.8,92.4,63.7
746,746,Spain Women's,Pass,69,,,,Incomplete,Ona Batlle Pascual,76.2,80.0,101.2,60.9
754,754,Spain Women's,Pass,70,,,,Incomplete,Ona Batlle Pascual,75.8,76.5,101.2,65.8
770,770,Spain Women's,Pass,71,,,,Out,María Francesca Caldentey Oliver,87.7,14.9,120.0,15.6
774,774,Spain Women's,Pass,73,,,,Incomplete,Jennifer Hermoso Fuentes,80.7,72.9,105.9,42.5
783,783,Spain Women's,Pass,73,,,,Incomplete,Teresa Abelleira Dueñas,84.3,73.1,103.1,60.7
795,795,Spain Women's,Pass,74,,,,Incomplete,Jennifer Hermoso Fuentes,42.6,38.9,67.2,26.0
803,803,Spain Women's,Pass,75,,,,Incomplete,Aitana Bonmati Conca,45.8,65.4,114.9,67.8
805,805,Spain Women's,Pass,76,,,,Pass Offside,Aitana Bonmati Conca,98.6,72.5,112.6,77.2
807,807,Spain Women's,Pass,77,,,,Incomplete,Ona Batlle Pascual,49.7,80.0,71.1,77.2
810,810,Spain Women's,Pass,77,,,,Incomplete,Irene Paredes Hernandez,37.9,70.1,50.5,69.7
827,827,Spain Women's,Pass,78,,,,Out,María Francesca Caldentey Oliver,58.9,36.7,88.0,80.0
832,832,Spain Women's,Pass,79,,,,Incomplete,Ona Batlle Pascual,64.9,77.4,70.4,75.9
834,834,Spain Women's,Pass,79,,,,Incomplete,Laia Codina Panedas,53.1,52.6,85.8,45.9
844,844,Spain Women's,Pass,79,,,,Incomplete,Jennifer Hermoso Fuentes,103.6,21.6,113.2,48.5
850,850,Spain Women's,Pass,80,,,,Incomplete,Jennifer Hermoso Fuentes,99.7,17.7,110.4,46.2
858,858,Spain Women's,Pass,83,,,,Incomplete,Aitana Bonmati Conca,45.8,73.7,55.7,79.7
869,869,Spain Women's,Pass,86,,,,Incomplete,Irene Paredes Hernandez,25.9,70.1,61.9,72.7
884,884,Spain Women's,Pass,90,,,,Out,Catalina Thomas Coll Lluch,8.0,45.7,56.9,0.2
886,886,Spain Women's,Pass,91,,,,Out,Laia Codina Panedas,5.2,6.8,21.2,0.2
903,903,Spain Women's,Pass,92,,,,Incomplete,Catalina Thomas Coll Lluch,12.2,51.3,65.9,30.5
909,909,Spain Women's,Pass,94,,,,Incomplete,Aitana Bonmati Conca,87.1,43.4,89.9,52.4
915,915,Spain Women's,Pass,95,,,,Out,Aitana Bonmati Conca,96.1,62.2,120.0,68.6
920,920,Spain Women's,Pass,96,,,,Incomplete,Ona Batlle Pascual,47.5,77.6,110.0,53.9
924,924,Spain Women's,Pass,96,,,,Incomplete,Olga  Carmona García,11.8,8.9,66.6,14.3
927,927,Spain Women's,Pass,97,,,,Out,Olga  Carmona García,16.9,6.4,54.2,1.0
